Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
100,100000,Radix Sort,Strings,,,,,,Skipped (integers only)
100,100000,Counting Sort,Strings,,,,,,Skipped (integers only)
1000,1000,Shell Sort,Random Ints,872181.4,0.000872181,34128.5,790459.0,998583.0,Success
1000,1000,Heap Sort,Random Ints,108793.3,0.000108793,2377.0,104834.0,125917.0,Success
1000,1000,Merge Sort,Random Ints,1106483.4,0.001106483,7298.4,1087834.0,1151458.0,Success
1000,1000,Quick Sort,Random Ints,1153513.9,0.001153514,42316.7,1058125.0,1342000.0,Success
1000,1000,Timsort (built-in),Random Ints,48397.0,0.000048397,967.2,47125.0,60417.0,Success
1000,1000,Timsort (custom),Random Ints,926789.2,0.000926789,20136.2,879042.0,984125.0,Success
1000,1000,Radix Sort,Random Ints,241129.9,0.000241130,13330.7,232792.0,290334.0,Success
1000,1000,Counting Sort,Random Ints,633094.3,0.000633094,8670.1,612666.0,677333.0,Success
1000,1000,Shell Sort,Sorted Ints,263901.8,0.000263902,3862.0,260375.0,298541.0,Success
1000,1000,Heap Sort,Sorted Ints,107855.2,0.000107855,1947.9,105167.0,127333.0,Success
1000,1000,Merge Sort,Sorted Ints,929195.3,0.000929195,8029.7,910541.0,960541.0,Success
1000,1000,Quick Sort,Sorted Ints,1144877.0,0.001144877,42980.6,1059875.0,1363875.0,Success
1000,1000,Timsort (built-in),Sorted Ints,1912.3,0.000001912,77.1,1792.0,2625.0,Success
1000,1000,Timsort (custom),Sorted Ints,419815.8,0.000419816,5192.9,414542.0,456166.0,Success
1000,1000,Radix Sort,Sorted Ints,178611.2,0.000178611,2074.1,175458.0,199583.0,Success
1000,1000,Counting Sort,Sorted Ints,138457.1,0.000138457,2472.8,135708.0,158375.0,Success
1000,1000,Shell Sort,Reverse Sorted,499590.0,0.000499590,6613.4,491167.0,541333.0,Success
1000,1000,Heap Sort,Reverse Sorted,106157.6,0.000106158,2417.8,102791.0,123250.0,Success
1000,1000,Merge Sort,Reverse Sorted,936306.1,0.000936306,7378.8,922792.0,983625.0,Success
1000,1000,Quick Sort,Reverse Sorted,1148362.0,0.001148362,45789.6,1048250.0,1404292.0,Success
1000,1000,Timsort (built-in),Reverse Sorted,2034.1,0.000002034,87.3,1917.0,2916.0,Success
1000,1000,Timsort (custom),Reverse Sorted,1183341.2,0.001183341,19161.0,1162167.0,1273875.0,Success
