Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
100000,10,Heap Sort,Random Ints,0.028385,Success
100000,10,Merge Sort,Random Ints,0.150757,Success
100000,10,Quick Sort,Random Ints,0.171519,Success
100000,10,Python Timsort,Random Ints,0.010310,Success
100000,10,Radix Sort,Random Ints,0.033289,Success
100000,10,Shell Sort,Sorted Ints,0.074572,Success
100000,10,Heap Sort,Sorted Ints,0.016996,Success
100000,10,Merge Sort,Sorted Ints,0.115760,Success
100000,10,Quick Sort,Sorted Ints,0.159751,Success
100000,10,Python Timsort,Sorted Ints,0.000151,Success
100000,10,Radix Sort,Sorted Ints,0.024599,Success
100000,10,Shell Sort,Reverse Sorted,0.120559,Success
100000,10,Heap Sort,Reverse Sorted,0.015693,Success
100000,10,Merge Sort,Reverse Sorted,0.116743,Success
100000,10,Quick Sort,Reverse Sorted,0.161722,Success
100000,10,Python Timsort,Reverse Sorted,0.000262,Success
100000,10,Radix Sort,Reverse Sorted,0.027317,Success
100000,10,Shell Sort,Almost Sorted,0.169964,Success
100000,10,Heap Sort,Almost Sorted,0.017802,Success
100000,10,Merge Sort,Almost Sorted,0.132046,Success
100000,10,Quick Sort,Almost Sorted,0.163002,Success
100000,10,Python Timsort,Almost Sorted,0.001831,Success
100000,10,Radix Sort,Almost Sorted,0.024949,Success
100000,10,Shell Sort,Half Sorted,0.227016,Success
100000,10,Heap Sort,Half Sorted,0.022993,Success
100000,10,Merge Sort,Half Sorted,0.131926,Success
100000,10,Quick Sort,Half Sorted,0.153094,Success
100000,10,Python Timsort,Half Sorted,0.005256,Success
100000,10,Radix Sort,Half Sorted,0.027685,Success
100000,10,Shell Sort,Flat (Few Unique),0.082888,Success
100000,10,Heap Sort,Flat (Few Unique),0.013917,Success
100000,10,Merge Sort,Flat (Few Unique),0.129530,Success
100000,10,Quick Sort,Flat (Few Unique),0.013539,Success
100000,10,Python Timsort,Flat (Few Unique),0.003696,Success
100000,10,Radix Sort,Flat (Few Unique),0.006740,Success
100000,10,Shell Sort,Floats,0.257243,Success
100000,10,Heap Sort,Floats,0.028369,Success
100000,10,Merge Sort,Floats,0.148154,Success
100000,10,Quick Sort,Floats,0.173647,Success
